noticeId,title,subheading,noticeDate,noticeDescription,noticeHeadingType,eventList,contact,backgroundInformationList,addressList,otherReferenceList,uniqueMapUrl,topics,signedBy,decisionBody,accessibilityDescription
21,440 Front Street West - Site-Specific Amendment to the City’s Sign By-law,"Notice of Meeting to be held by the Planning and Growth Management Committee (regarding amendments to Toronto Municipal Code Chapter 694, Signs, General)",2018-01-02 05:00:00,"Notice is given that the Chief Building Official and Executive Director, Toronto Building, is reporting on a proposal which seeks to amend Chapter 694, Signs, General, of the City of Toronto Municipal Code.
This report proposes:
1.&nbsp; That City Council approve the application to amend the Sign By-law to add an area-specific amendment to Schedule &lsquo;B&rsquo; of Chapter 694, Signage Master Plans and Area Specific Amendments, to establish regulations for the premises municipally known as 440 Front Street West to allow for and regulate the erection and display of a total of 60 first party signs and three third party signs, consisting of the following:
a.&nbsp; Two first party identification signs at the corner of Front Street and Spadina Avenue of 440 Front Street West;
b.&nbsp; Six first party projecting signs along the Wellington Street frontage identifying retail and other business tenants;
c.&nbsp; Six upper-storey first party wall signs for the identification of office tenants in various locations of the premises;
d.&nbsp; 21 first party wall signs, located no higher than the third storey of various buildings on the premises, identifying retail or other commercial tenants;
e.&nbsp; 11 first party overhanging structure signs located no higher than the third storey of various buildings on the premises, identifying retail or other commercial tenants
f.&nbsp; 14 first party projecting signs located no higher than the third storey of various buildings on the premises, identifying retail or other commercial tenants;
g.&nbsp; Five first party electronic ground signs located near pedestrian entrances to the premises, 440 Front Street West;
h.&nbsp; One third party electronic wall sign located at the south-west corner of the premises, 440 Front Street, with a sign face area of 98.8 square metres displaying electronic static sign copy;
i.&nbsp; One third party electronic wall sign facing Spadina Avenue with a sign face area of 48.5 square metres displaying electronic static sign copy; and,
j.&nbsp; One third party electronic projecting sign perpendicular to Front Street West with a sign face area of 44.5 square metres displaying electronic static sign copy.
The Chief Building Official and Executive Director, Toronto Building is recommending that the Council of the City of Toronto amend Chapter 694, Signs, General, of the City of Toronto Municipal Code, in the manner proposed above.
At its meeting to be held in Toronto City Hall, Committee Room 1, on January 15, 2018 commencing at 10:00 a.m., or as soon as possible thereafter, the Planning and Growth Management Committee of Toronto City Council will hear in person or by his or her counsel, agent or solicitor, any person who wishes to speak to the matter.
To view or obtain a copy of the report outlining the proposed amendments, you may view the Planning and Growth Management Committee agenda at http://www.toronto.ca/legdocs/agendas.html, as of January 8, 2018. To submit comments or make a presentation to the Planning and Growth Management Committee, please notify the City Clerk, attention: Nancy Martins, Administrator, Planning and Growth Management Committee, Toronto City Hall, 100 Queen Street West, 10th Floor, West Tower, Toronto, ON M5H 2N2, or call 416 397-4579 or e-mail pgmc@toronto.ca, by no later than 12:00 p.m. on January 12, 2018.
To ask questions regarding the content of the report, contact: Ted Van Vliet, Manager, Sign By-law Unit, Toronto Building, 100 Queen Street West, Ground Floor, East Tower, Toronto ON M5H 2N2, Telephone: 416-392-4235.
Any comments received after the Committee meeting will be processed to Council.If this matter is deferred at the Committee meeting or Council meeting or considered at a subsequent Committee or Council meeting, no additional notice will be provided other than the information on the subsequent Committee or Council agenda. Please contact the above City officials if you require notice in these cases.
Notice to people writing or making presentations to the Planning and Growth Management Committee: The City of Toronto Act, 2006, and the City of Toronto Municipal Code authorize the City of Toronto to collect any personal information in your communication or presentation to City Council or its committees.
The City collects this information to enable it to make informed decisions on the relevant issue(s). If you are submitting letters, faxes, e-mails, presentations or other communications to the City, you should be aware that your name and the fact that you communicated with the City will become part of the public record and will appear on the City&rsquo;s website. The City will also make your communication and any personal information in it &ndash; such as your postal address, telephone number or e-mail address &ndash; available to the public, unless you expressly request the City to remove it.
Many Committee, Board, and Advisory Body meetings are broadcast live over the internet for the public to view. If you speak at the meeting you will appear in the video broadcast. Video broadcasts are archived and continue to be publicly available.
If you want to learn more about why and how the City collects your information, write to the City Clerk&rsquo;s Office, City Hall, 100 Queen Street West, 10th Floor, West Tower, Toronto ON M5H 2N2 or by calling 416-397-4579.",Public Notice,"Toronto, Ontario, 1516028400000.0, M5H 2N2, Canada, Planning and Growth Management Committee, Toronto City Hall, 2nd Floor, Committee Room 1, 100 Queen Street West","Toronto and East York Community Council, teycc@toronto.ca, Toronto, Ontario, M5H 2N2, Canada, Toronto City Hall, 2nd Floor, 416-392-7033, 100 Queen Street, 416-397-0111",,"Toronto, Ontario, 43.6428339808, -79.3960597171Canada, 440 Front Street West Toronto Ontario, 440 Front Street West","Item PG25.2 - Site-Specific Amendment to the Sign By-law 440 Front Street West, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2018.PG25.2",http://www.toronto.ca/legdocs/nmis/legend/images/legend-signs.png,Signs > Proposal to amend a signs chapter of the Municipal Code,"Ulli S. Watkiss, City Clerk",Planning and Growth Management Committee,
22,Notice of Passing of By-law - 2430 and 2434 Yonge Street,"In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and City of Toronto, Province of Ontario and  2430 and 2434 Yonge Street (Including the Entrance Address at 2436 Yonge Street)",2018-01-04 05:00:00,Take notice that the Council of the City of Toronto has passed By-law No. 1386-2017 to designate 2430 and 2434 Yonge Street (including the entrance address at 2436 Yonge Street) (Eglinton-Lawrence &ndash; Ward 16) as being of cultural heritage value or interest.,Public Notice,,"Eric AllenToronto, Ontario, M5V 3C6, Canada, Metro Hall, 416-392-1852, 55 John Street2nd floor",,"Toronto, Ontario, 43.7102950314, -79.3995115147, M4P 2H4, Canada, 2430 Yonge Street Toronto Ontario, 2430 Yonge Street","Item MM31.37 - Intention to Designate under Part IV, Section 29 of the Ontario Heritage Act - 2430 and 2434 Yonge Street , http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2017.MM31.37",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",Toronto and East York Community Council,
23,Notice of Passing of By-law 1020-2017 - 140 Merton Street (the War Amputations of Canada – War Amps Building),In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and 140 Merton Street (The War Amputations of Canada – War Amps Building),2018-01-08 05:00:00,"Take notice that the Council of the City of Toronto has passed By-law No. 1020-2017 to designate 140 Merton Street (the War Amputations of Canada &ndash; War Amps Building) (St. Paul&rsquo;s, Ward 22) as being of cultural heritage value or interest.",Public Notice,,"Toronto Preservation Board, hertpb@toronto.ca, Toronto , Ontario , M5H 2N2, Canada, 2nd floor, West Tower, City Hall, 416-392-7033, 100 Queen Street",,"Toronto, Ontario, 43.697542136, -79.391705412, M4S 1A1, Canada, 140 Merton Street Toronto Ontario, 140 Merton Street","TE22.20 - Intention to Designate under Part IV, Section 29 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement - 140 Merton Street, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2017.TE22.20",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
24,Notice of Passing of By-law 1023-2017 - 234 St. George Street - Heritage Designation,"In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and 234 St. George Street (Robert Watson House) City of Toronto, Province of Ontario",2018-01-08 05:00:00,"Take notice that the Council of the City of Toronto has passed By-law No. 1023-2017 to designate 234 St. George Street (Toronto Centre-Rosedale, Ward 27) as being of cultural heritage value or interest.",Public Notice,,"Etobicoke York Community Council, etcc@toronto.ca, Toronto, Ontario, M9C 2Y2, Canada, Etobicoke Civic Centre, 416-392-8016, 399 The West Mall, 416-394-5600","Heritage designation notice for 234 St. George Street., https://secure.toronto.ca/nm/api/individual/fileSpace.do?f=21","Toronto, Ontario, 43.6560768415, -79.3732166772, M5R 2N5, Canada, 234 St George Street Toronto Ontario, 234 St George Street","TE7.13 - Intention to Designate, Part IV, Ontario Heritage Act - 18 Properties with Heritage Easement Agreements, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2007.TE7.13",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
25,Notice of Passing By-law 1024-2017 - 349 George Street (Allan School) - Heritage Designation,"In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and 349 George Street (Allan School) City of Toronto, Province of Ontario",2018-01-08 05:00:00,"Take notice that the Council of the City of Toronto has passed By-law No. 1024-2017 to designate 349 George Street (Allan School) (St. Paul&rsquo;s, Ward 20) as being of cultural heritage value or interest.",Public Notice,,,"Heritage Designation notice for 349 George Street (Allan School), https://secure.toronto.ca/nm/api/individual/fileSpace.do?f=22","Toronto, Ontario, 43.660135811, -79.37430236, M5A 2N2, Canada, 349 George Street Toronto Ontario, 349 George Street","TE13.15 - Intention to Designate Under Part IV, Section 29 of the Ontario Heritage Act - 349 George Street, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2016.TE13.15",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
26,"Notice of Passing of By-law 1025-2017 - 628 Church Street (Mahattan Apartments), and 634 and 636 Church Street (Bernard Haldan Houses) - Heritage Designation","In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and 628 Church Street (Mahattan Apartments), and 634 and 636 Church Street (Bernard Haldan Houses) City of Toronto, Province of Ontario",2018-01-08 05:00:00,"Take notice that the Council of the City of Toronto has passed By-law No. 1024-2017 to designate 628 Church Street (Mahattan Apartments), And 634 And 636 Church Street (Bernard Haldan Houses) (Toronto Centre-Rosedale, Ward 27) as being of cultural heritage value or interest.",Public Notice,,"Toronto Preservation Board, hertpb@toronto.ca, Toronto , Ontario , M5H 2N2, Canada, 2nd floor, West Tower, City Hall, 416-392-7033, 100 Queen Street","Notice of Heritage Designation for 628, 634 and 636 Church Street, https://secure.toronto.ca/nm/api/individual/fileSpace.do?f=23","Toronto, Ontario, 43.6695958741, -79.3828170273, M4Y 2G3, Canada, 628 Church Street Toronto Ontario, 628 Church Street","TE17.28 - Alterations to a Heritage Property, Intention to Designate Under Part IV, Section 29 of the Ontario Heritage Act, and Authority to Enter Into a Heritage Easement Agreement - 628, 634 and 636 Church Street, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2016.TE17.28",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
27,"Notice of Passing of By-law 1214-2017 - 639, 641, 643, 651, 653 And 655 Queen Street East (The Smith Block) - Heritage Designation","In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and 639, 641, 643, 651, 653 And 655 Queen Street East (The Smith Block) City of Toronto, Province of Ontario",2018-01-08 05:00:00,"Take notice that the Council of the City of Toronto has passed By-law No. 1214-2017 to designate 639, 641, 643, 651, 653 And 655 Queen Street East (The Smith Block), (Toronto-Danforth, Ward 30) as being of cultural heritage value or interest.",Public Notice,,"Toronto Preservation Board, hertpb@toronto.ca, Toronto , Ontario , M5H 2N2, Canada, 2nd floor, West Tower, City Hall, 416-392-7033, 100 Queen Street","Heritage Designation notice for 639, 641, 643, 651, 653 And 655 Queen Street East (The Smith Block), https://secure.toronto.ca/nm/api/individual/fileSpace.do?f=24","Toronto, Ontario, 43.6581164382, -79.3524317988, M4M 1G4, Canada, 639 Queen Street East Toronto Ontario, 639 Queen Street East","TE14.14 - Intention to Designate Under Part IV, Section 29 of the Ontario Heritage Act and Inclusion on the Heritage Register - 639, 641, 643, 651, 653 and 655 Queen Street East, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2016.TE14.14",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
41,Notice of Passing of By-law - 69 Long Branch Avenue (St. Agnes’ Church) and 24 Marina Avenue (Rectory of St. Agnes’ Church),"In the Matter of the Ontario Heritage Act R.S.O. 1990 Chapter 0.18 and City of Toronto, Province of Ontario.",2018-02-14 05:00:00,Take Notice that the Council of the City of Toronto has passed By-law No. 75-2018 to designate the property at 69 Long Branch Avenue (St. Agnes&rsquo; Church) and 24 Marina Avenue (Rectory of St. Agnes&rsquo; Church) as being of cultural heritage value or interest.,Public Notice,,"Toronto Preservation Board, hertpb@toronto.ca, Toronto , Ontario , M5H 2N2, Canada, 2nd floor, West Tower, City Hall, 416-392-7033, 100 Queen Street",,"Toronto, Ontario, 43.5936421216, -79.5333878357, M8W 3J5, Canada, 69 Long Branch Avenue Toronto Ontario, 69 Long Branch Avenue","EY13.9 - Intention to Designate under Part IV, Section 29 of the Ontario Heritage Act - 69 Long Branch Avenue and 24 Marina Avenue, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2016.EY13.9",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Designation of a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
42,Notice of Intention to Designate - 505 Balliol Street,"In the Matter of the Ontario Heritage Act R.S.O. 1990, Chapter 0.18 and City of Toronto, Province of Ontario",2018-02-16 05:00:00,"Notice of Intention to Designate
Take notice that Toronto City Council intends to designate the lands and building known municipally as 505 Balliol Street under Part IV, Section 29 of the Ontario Heritage Act.
Reasons for DesignationThe property at 505 Balliol Street is worthy of designation under Part IV, Section 29 of the Ontario Heritage Act for its cultural heritage value and meets Ontario Regulation 9/06, the provincial criteria prescribed for municipal designation under all three categories of design, associative and contextual value.
DescriptionLocated on the south side of the street between Mount Pleasant Road and Bayview Avenue in the Davisville neighbourhood, the property at 505 Balliol Street contains the Page House and Grocery Store, a one-and-a-half storey, gable-roofed structure completed by 1889 and adapted to function as a neighbourhood store from 1924-1951. The property at 505 Balliol Street was identified as having potential heritage value in the &ldquo;Midtown in Focus: Cultural Heritage Resource Assessment (2017).&rdquo;
Statement of Cultural Heritage ValueThe Page House and Grocery Store has design value as a representative example of the classic 19th century Ontario house which comprised a one-and-a-half storey gable-roofed building with a dormer gable and entrance centred on the principle elevation. It is also valued for the adaptation of the house to include a local neighbourhood grocery store at ground floor which is indicated by the later addition of the two large bay windows on the principal elevation.
As one of the earliest and rare surviving 1880s houses on Balliol Street, the Page House and Grocery Store has historical value for its association with the Page family who occupied the house for over 75 years. It is valued for its association with the Davis family, the historic evolution of the Davisville neighbourhood and the late 19th century subdivision which included the creation of Balliol and Merton streets. It is also valued as it represents a pattern of urban living which evolved in the late 19th century and continued beyond the mid-20th century that relied on the small neighbourhood grocery store on a residential side street, accessible by foot, a common type across the City of Toronto, now increasingly rare.
Contextually the property at 505 Balliol Street supports the remaining historic character of Balliol Street as it developed as a residential street in the late 19th century. In its scale, form and details, the building maintains the link with the original 19th century character of the first houses on the street, the majority of which have been demolished and replaced. In its transformation as a local convenience store, serving the adjacent community connected by the streets perpendicular to Balliol, Forsyth Road, Forman Avenue, Martin Road and Cleveland Street, it is historically and functionally linked to the final development of the Davisville neighbourhood in the early 20th century. As a local community amenity, with its distinctive form and proximity to the street edge, the property is a local landmark.
Heritage Attributes
The heritage attributes of the building at 505 Balliol Street are:

The setback, placement and orientation of the building on the south side of Balliol Street between Mount Pleasant Road and Bayview Avenue
The scale, form and massing of the one-and-a-half storey house-form building with its gable roof and gable dormer &ndash; this includes the front gable-roofed volume of the house
The principal (north) elevation with its central door flanked by two symmetrical windows with a central gable dormer above
The windows on the principal (north) elevation including the two bay windows and their upper lights and the round-headed dormer window with its one-over-one double-hung sash.
The projecting hipped roof which links the two bay windows together.
The two-over-two double-hung sash window on the second floor of the side (west) elevation
The two-over-two double-hung sash window on the second floor of the side (east) elevation
Original exterior building cladding
The brick chimney on the east elevation

Note: The rear south elevation and the rear wing, all porches and decks are not included in the attributes.
Notice of an objection to the proposed designation may be served on the City Clerk, Attention: Ellen Devlin, Administrator, Toronto and East York Community Council, Toronto City Hall, 100 Queen Street West, 2nd floor, Toronto, Ontario, M5H 2N2, within thirty days of February 16, 2018, which is March 19, 2018. The notice of objection must set out the reason(s) for the objection, and all relevant facts.",Public Notice,,"Toronto Preservation Board, hertpb@toronto.ca, Toronto , Ontario , M5H 2N2, Canada, 2nd floor, West Tower, City Hall, 416-392-7033, 100 Queen Street",,"Toronto, Ontario, 43.7004339715, -79.3806115731, M4S 1E1, Canada, 505 Balliol Street Toronto Ontario, 505 Balliol Street","MM36.26 - 505 Balliol Street - Intention To Designate Under Part IV, Section 29 of The Ontario Heritage Act, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2018.MM36.26",http://www.toronto.ca/legdocs/nmis/legend/images/legend-heritage.png,Heritage > Intention to designate a heritage property,"Ulli S. Watkiss, City Clerk",City Council,
43,Notice of Naming of a Public Lane - Chris Van Santen Lane,"Notice of meeting to consider the naming of the public lane north of Queen Street East, extending westerly from Willow Avenue as “Chris Van Santen Lane”.",2018-01-09 05:00:00,"Notice is given that the City of Toronto will consider whether to pass a by-law to authorize the naming of a public highway in the Toronto and East York Community Council area.The plan showing the lands to be affected may be seen in the City Clerk&rsquo;s Office, Secretariat, 2nd Floor, West Tower, Toronto City Hall, 100 Queen Street West, between the hours of 8:30 a.m. and 4:30 p.m. Monday to Friday. At its meeting to be held in Committee Room 1, 2nd floor, Toronto City Hall, 100 Queen Street West, on January 16, 2018, at 9:30 a.m., or shortly afterwards, the Toronto and East York Community Council will hear in person or by his or her counsel, agent or solicitor, any person who claims that his or her lands will be prejudicially affected by the naming and who applies to be heard with respect to the proposed naming.
Notice to People writing or making presentations to the Toronto and East York Community Council:&nbsp;The personal information contained in your correspondence to Toronto City Council or its committees is collected under the City of Toronto Act, 2006, and the City of Toronto Municipal Code Chapter 27 &ndash; Council Procedures, section 27-21. Any personal information will become part of the public record and may be posted on the City&rsquo;s website, unless you expressly request the removal of personal identity information. Questions about the collection of this information may be directed to the City Clerk&rsquo;s office at 416-392-7033.
The City videotapes committee and community council meetings. If you make a presentation to a committee or community council, the City will be videotaping you and City staff may make the video tapes available to the public.
To obtain additional information, submit comments or address the Toronto and East York Community Council meeting on January 16, 2018, please contact the following City official no later than 12:00 p.m. on January 15, 2018.
Ms. Ellen DevlinAdministrator, Toronto and East York Community CouncilCity Clerk&rsquo;s OfficeToronto City Hall, 100 Queen Street West2nd floor, West TowerToronto, Ontario M5H 2N2Telephone: 416-392-7033; Fax: 416-397-0111Email: teycc@toronto.ca",Public Notice,"Toronto, Ontario, 1515508200000.0, M5H 2N2, Canada, Toronto City Hall, 2nd Floor, Committee Room 1, 100 Queen Street West",,,"Toronto, Ontario, 43.672893026, -79.286328037Canada, Queen Street East & Willow Avenue Toronto Ontario, Queen Street East & Willow Avenue","TE29.3 - Naming of a Public Lane located north of Queen Street East, extending westerly from Willow Avenue, http://app.toronto.ca/tmmis/viewAgendaItemHistory.do?item=2018.TE29.3",http://www.toronto.ca/legdocs/nmis/legend/images/legend-transport.png,Transportation > Intention to name a road or highway,"Ulli S. Watkiss, City Clerk",Toronto and East York Community Council,"ity staff can arrange for special assistance with some advance notice. If you need special assistance, please call 416-392-7033, TTY 416-338-0889 or email teycc@toronto.ca."
